national_park_name,state
Denali,Alaska
Gates of the Arctic,Alaska
Glacier Bay,Alaska
Katmai,Alaska
Kenai Fjords,Alaska
Kobuk Valley,Alaska
Lake Clark,Alaska
Wrangell - St. Elias,Alaska
American Samoa,American Samoa
Grand Canyon,Arizona
Petrified Forest,Arizona
Saguaro,Arizona
Hot Springs,Arkansas
Channel Islands,California
Death Valley,California
Joshua Tree,California
Kings Canyon,California
Lassen Volcanic,California
Redwood,California
Sequoia,California
Yosemite,California
Black Canyon of the Gunnison,Colorado
Great Sand Dunes,Colorado
Mesa Verde,Colorado
Rocky Mountain,Colorado
Biscayne,Florida
Dry Tortugas,Florida
Everglades,Florida
Haleakala,Hawaii
Hawaii Volcanoes,Hawaii
Yellowstone,Idaho
Mammoth Cave,Kentucky
Acadia,Maine
Isle Royale,Michigan
Voyageurs,Minnesota
Glacier,Montana
Yellowstone,Montana
Great Basin,Nevada
Carlsbad Caverns,New Mexico
Great Smoky Mountains,North Carolina
Theodore Roosevelt,North Dakota
Cuyahoga Valley,Ohio
Crater Lake,Oregon
Congaree,South Carolina
Badlands,South Dakota 
Wind Cave,South Dakota 
Great Smoky Mountains,Tennessee
Big Bend,Texas
Guadalupe Mountains,Texas
Virgin Islands,U.S. Virgin Islands
Arches,Utah
Bryce Canyon,Utah
Capitol Reef,Utah
Canyonlands,Utah
Zion,Utah
Shenandoah,Virginia
Mount Rainier,Washington
North Cascades,Washington
Olympic,Washington
Grand Teton,Wyoming
Yellowstone,Wyoming
