,state,passenger_amount
0,CA,4812373.0
1,FL,2917775.0
2,TX,2773599.0
3,NY,2020951.0
4,IL,1548829.0
5,CO,1124835.0
6,WA,1100283.0
7,GA,1067786.0
8,PA,991611.0
9,MA,947945.0
10,NC,918938.0
11,NJ,903055.0
12,AZ,849958.0
13,OH,849304.0
14,DC,800325.0
15,MI,743843.0
16,NV,734348.0
17,MN,669220.0
18,MO,659720.0
19,TN,586118.0
20,OR,574869.0
21,MD,542118.0
22,HI,532197.0
23,UT,406229.0
24,LA,338945.0
25,IN,330322.0
26,WI,323266.0
27,VA,297507.0
28,SC,256833.0
29,PR,228551.0
30,CT,209227.0
31,OK,203778.0
32,AK,178387.0
33,NE,156599.0
34,AL,149384.0
35,KY,148602.0
36,NM,139874.0
37,ID,135041.0
38,IA,130617.0
39,RI,117256.0
40,MT,115830.0
41,AR,113884.0
42,ME,75871.0
43,ND,70690.0
44,KS,57513.0
45,NH,54596.0
46,SD,53209.0
47,MS,48530.0
48,VT,38491.0
49,VI,26692.0
50,WY,24364.0
51,WV,23125.0
52,TT,9173.0
